Unit,FileName,ImageID,ObjectID,BorderObject,Area,FilledArea,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,ConvexArea,Circularity,EulerNumber,EquivDiameter,Solidity,Extent,Perimeter,Centroid_x,Centroid_y,Centroid_x_pixels,Centroid_y_pixels,BoundingBox_x,BoundingBox_y,BoundingBox_w,BoundingBox_h
um,Steel 1 1200 degree cropped.png,1,1,1,21.7030683219785,21.7030683219785,10.2066021743525,2.91126262786531,0.958458123920207,90,21.7030683219785,0.555899183433325,1,5.25672948035488,1,0.833333333333333,19.4775991493893,1.58769367156594,9.78132708375447,1.86666666666667,11.5,0.42527509059802,4.67802599657822,2.55165054358812,10.2066021743525
um,Steel 1 1200 degree cropped.png,1,2,1,48.4701859190854,48.4701859190854,10.6740269364245,6.98392842650371,0.756242173272086,57.1039480541948,53.5342351942137,0.7113810962727,1,7.85583588505036,0.905405405405405,0.62037037037037,26.5890492143694,3.40220072478416,22.5713167487546,4,26.5373134328358,0.42527509059802,18.2868288957149,7.65495163076437,10.2066021743525
um,Steel 1 1200 degree cropped.png,1,3,1,69.4498186303313,69.4498186303313,18.3016091266033,5.24786347087536,0.958007458270302,83.5932808297655,73.790432294727,0.537991270976844,1,9.40352356592052,0.941176470588235,0.761904761904762,37.6045246110394,2.63138962307525,70.0020518919783,3.09375,82.3020833333333,0.42527509059802,62.515438317909,5.10330108717624,17.8615538051169
um,Steel 1 1200 degree cropped.png,1,4,1,743.691807833131,743.691807833131,61.9282788768664,19.2425468969848,0.95050047556835,62.6309652826329,1048.25819995156,0.241792607125406,1,30.7717048411154,0.709454796411318,0.354727398205659,193.926291862878,17.8764467071222,80.6624394114623,21.0175097276265,94.8356031128405,0.42527509059802,54.0099365059486,35.7231076102337,58.6879625025268
um,Steel 1 1200 degree cropped.png,1,5,1,49.9170571405506,49.9170571405506,14.2603179855526,5.17071309943645,0.931947003263884,37.1050860915998,61.4920269122725,0.581327792930481,1,7.97222497852098,0.811764705882353,0.479166666666667,30.1766698786543,5.32518374314043,116.315818982114,6.26086956521739,136.753623188406,0.42527509059802,111.847348827279,10.2066021743525,10.2066021743525
um,Steel 1 1200 degree cropped.png,1,6,1,26.7671175971069,26.7671175971069,8.02663680056186,4.46531587054113,0.830973375569255,63.8247956809407,28.2139888185721,0.818526158612916,1,5.83788939799418,0.948717948717949,0.685185185185185,17.5995843493085,2.66658975726326,129.674420868294,3.13513513513514,152.459459459459,0.42527509059802,126.306701907612,5.10330108717624,7.65495163076437
um,Steel 1 1200 degree cropped.png,1,7,1,6.51092049659356,6.51092049659356,4.04942882926378,2.5287968575437,0.781038914838675,90,6.51092049659356,0.723407055476695,1,2.87922931509278,1,0.6,7.96285079635733,1.32307805963829,180.316638413561,1.55555555555556,212,0.42527509059802,178.190262960571,2.55165054358812,4.2527509059802
um,Steel 1 1200 degree cropped.png,1,8,1,224.265039327111,224.265039327111,23.1995999286361,13.5611220124401,0.811364026783772,-70.9039907316525,259.71338425301,0.661814591938402,1,16.8980210845195,0.863509749303621,0.628803245436105,62.5834823324047,8.42319050410272,207.693379407025,9.90322580645161,244.187096774194,0.42527509059802,196.051816765687,14.4593530803327,24.6659552546852
um,Steel 1 1200 degree cropped.png,1,9,1,2492.9591145846,2508.15126240999,135.468039921116,42.9314165508476,0.948455022079492,-5.38091893440633,4407.16974058311,0.0839938925384618,0,56.3394544533143,0.565659881812213,0.411610129001433,608.043014633788,66.4525033034743,258.100760642952,78.1288450377249,303.45153801509,0.42527509059802,232.625474557117,136.938579172563,44.2286094221941
um,Steel 1 1200 degree cropped.png,1,10,1,41.9592654224918,41.9592654224918,8.90504923848516,6.75771014912983,0.651250587326311,62.0921463697384,44.8530078654223,0.751402347511139,1,7.30918572783284,0.935483870967742,0.585858585858586,23.8179567240327,3.24088948352284,269.492425514477,3.81034482758621,316.844827586207,0.42527509059802,264.946381442567,7.65495163076437,9.35605199315645
um,Steel 1 1200 degree cropped.png,1,11,1,142.516815314326,142.516815314326,21.2562336314202,8.84357995107828,0.909343375520391,24.513684708082,156.985527528978,0.682971244033936,1,13.4706364009989,0.907834101382488,0.63961038961039,48.5357955397709,9.20493901680182,286.890144366063,10.8223350253807,337.299492385787,0.42527509059802,281.106834885291,18.7121039863129,11.9077025367446
um,Steel 1 1200 degree cropped.png,1,12,1,6.51092049659356,6.51092049659356,4.04942882926378,2.5287968575437,0.781038914838675,90,6.51092049659356,0.723407055476695,1,2.87922931509278,1,0.6,7.96285079635733,1.32307805963829,298.54311359981,1.55555555555556,351,0.42527509059802,296.41673814682,2.55165054358812,4.2527509059802
um,Steel 1 1200 degree cropped.png,1,13,1,1036.68323017984,1036.68323017984,95.3415495703003,27.618665439804,0.957123156037969,22.2260863139343,1822.33430343546,0.142314859690196,1,36.3310622474593,0.568876538308853,0.257548526240115,299.881879585013,41.3534767789885,304.03993511276,48.6196789951151,357.462665736218,0.42527509059802,276.854083979311,91.0088693879763,44.2286094221941
um,Steel 1 1200 degree cropped.png,1,14,1,551.981370988987,572.2375680895,59.1937164475769,15.5379565179836,0.964933803353111,-0.203561799212669,766.118311765842,0.381516842014596,0,26.5104603788827,0.720491029272899,0.576719576719577,132.16529155569,26.3559081704037,332.654300421041,30.9868938401048,391.104849279161,0.42527509059802,322.783793763897,53.5846614153506,17.8615538051169
um,Steel 1 1200 degree cropped.png,1,15,1,17.3624546575828,17.3624546575828,8.3336557782483,2.89131464747233,0.937885723118563,-90,17.3624546575828,0.616294545139291,1,4.70176178296026,1,0.8,16.1434424391008,1.55934199885941,354.254150468151,1.83333333333333,416.5,0.42527509059802,350.001399562171,2.55165054358812,8.50550181196041
um,Steel 1 1200 degree cropped.png,1,16,1,34.001473704433,34.001473704433,9.85099370968323,4.71595122179999,0.877963008733316,63.7745074698566,36.8952161473635,0.694616053764744,1,6.57966723320845,0.92156862745098,0.61038961038961,22.1296146143586,3.00407085273495,406.50869617461,3.53191489361702,477.936170212766,0.42527509059802,401.884960615129,5.95385126837228,9.35605199315645
um,Steel 1 1200 degree cropped.png,1,17,1,1046.08789311936,1046.08789311936,88.3907380977083,26.6974132382396,0.95329570160646,-48.3107014759675,2155.11468437247,0.166112822053927,1,36.4954856494371,0.48539778449144,0.244918699186992,278.639388809642,31.3862428204976,432.741227147067,36.9011065006916,508.778008298755,0.42527509059802,397.632209709149,61.2396130461149,69.7451148580753
um,Steel 1 1200 degree cropped.png,1,18,1,897.060157308446,897.060157308446,79.301819625029,22.191785413662,0.960046783751979,-72.7334538237142,1391.16667943882,0.169133435711718,1,33.7960421690389,0.644825793031721,0.379553106825834,255.495067829116,12.7555090076787,478.269854307057,14.9967741935484,562.306451612903,0.42527509059802,435.906967862971,28.0681559794693,84.204467938408
um,Steel 1 1200 degree cropped.png,1,19,1,21.7030683219785,21.7030683219785,10.2066021743525,2.91126262786531,0.958458123920207,90,21.7030683219785,0.555899183433325,1,5.25672948035488,1,0.833333333333333,19.4775991493893,1.58769367156594,494.594930365498,1.86666666666667,581.5,0.42527509059802,489.491629278321,2.55165054358812,10.2066021743525
um,Steel 1 1200 degree cropped.png,1,20,1,549.811064156789,549.811064156789,64.482471256258,20.7115874465647,0.947012342235151,-76.6940226963942,900.677335362109,0.28963823836503,1,26.4582914984574,0.610441767068273,0.389144905273938,151.776427083527,8.18878378396241,530.100923850531,9.62763157894737,623.244736842105,0.42527509059802,499.698231452674,26.3670556170773,53.5846614153506
um,Steel 1 1200 degree cropped.png,1,21,1,188.816694401213,188.816694401213,28.9433798442117,17.1767879141406,0.804862217897452,-65.9464923493189,299.502342843304,0.296852612083331,1,15.5051243793076,0.630434782608696,0.416267942583732,86.7314525267414,6.47526134113614,569.409128774724,7.61302681992337,669.459770114943,0.42527509059802,552.432342686828,16.1604534427248,28.0681559794693
um,Steel 1 1200 degree cropped.png,1,22,1,15.192147825385,15.192147825385,7.4149245724875,2.87424316594524,0.921815277663797,-90,15.192147825385,0.649201458442853,1,4.39809542651617,1,0.777777777777778,14.4763640839566,1.53909080406903,604.741178830385,1.80952380952381,711,0.42527509059802,600.913703015003,2.55165054358812,7.65495163076437
um,Steel 1 1200 degree cropped.png,1,23,1,1979.31983096444,2118.2194682251,179.856696708141,48.041734521756,0.963665718711923,74.1943281533507,5549.47456992991,0.136603774243359,-2,50.201078479077,0.356667970277669,0.196551724137931,424.036689534199,43.9693408362594,546.036118279625,51.6951754385965,641.979897660819,0.42527509059802,474.181726016793,68.0440144956833,147.995731528111
um,Steel 1 1200 degree cropped.png,1,24,1,1001.95832086468,1001.95832086468,79.4087063051719,27.7193044260965,0.937096148537293,38.5923504051148,1942.42461481708,0.172534182567096,1,35.7174041092203,0.515828677839851,0.276723276723277,267.469963830175,35.4105227421985,621.720862555937,41.6324909747292,730.963176895307,0.42527509059802,592.408201203042,65.4923639520951,55.2857617777426
um,Steel 1 1200 degree cropped.png,1,25,1,148.304300200187,148.304300200187,24.475950731478,8.24218964009539,0.941595361652648,-35.1875500074971,167.837061689967,0.570415960078476,1,13.741430044546,0.883620689655172,0.443722943722944,54.4870951575996,8.949447516292,681.917197954422,10.5219512195122,801.736585365854,0.42527509059802,672.35991823547,18.7121039863129,17.8615538051169
um,Steel 1 1200 degree cropped.png,1,26,1,80.3013527913205,80.3013527913205,13.6602929763547,7.81249520474333,0.820314482190758,-48.119538988043,83.9185308449836,0.783501498167783,1,10.1115210462936,0.956896551724138,0.616666666666667,33.2156856760678,5.01134971623613,695.290291363661,5.89189189189189,817.459459459459,0.42527509059802,688.520371678195,10.2066021743525,12.7582527179406
um,Steel 1 1200 degree cropped.png,1,27,1,866.675861657676,866.675861657676,40.8765683622738,31.5526059551877,0.635744475576153,-69.0546078184005,977.361510099766,0.556491430827519,1,33.218759452002,0.886750555144338,0.579583938074504,137.223513483263,12.7745821454594,739.196265069873,15.0191986644407,869.080133555927,0.42527509059802,712.335776751684,33.1714570666456,45.0791596033902
um,Steel 1 1200 degree cropped.png,1,28,1,1544.53502891414,1590.11147239029,85.3935667849964,25.4005963952311,0.954736375741369,28.8999363075528,1731.90485209389,0.505015959190987,0,44.3459476958397,0.891812865497076,0.418299373040752,193.370882594557,36.9090972539904,763.311619496514,43.3943793911007,897.432786885246,0.42527509059802,740.403932731153,74.8484159452516,49.3319105093704
um,Steel 1 1200 degree cropped.png,1,29,1,1784.71565167737,1784.71565167737,64.3190796102955,40.4640427235313,0.77731293157363,-0.167064811802825,2061.06805497723,0.520878094655815,1,47.669387911147,0.865917865917866,0.600535540408958,204.82949463563,63.2396299091543,803.616498112856,74.3514389947304,944.819618970409,31.0450816136555,775.276490160191,67.1934643144872,44.2286094221941
