Unit,FileName,ImageID,ObjectID,BorderObject,Area,FilledArea,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,ConvexArea,Circularity,EulerNumber,EquivDiameter,Solidity,Extent,Perimeter,Centroid_x,Centroid_y,Centroid_x_pixels,Centroid_y_pixels,BoundingBox_x,BoundingBox_y,BoundingBox_w,BoundingBox_h
um,1.5mm5 disc011.jpg,1,1,0,54.93833922,54.93833922,8.590203739,8.508623565,0.137490284,74.88454723,54.98377011,0.844525083,1,8.363591693,0.99917374,0.997151424,28.38956899,5.203729884,5.107447274,80.97210946,79.4739137,1.510244121,1.381712706,7.390556337,7.454822044
um,1.5mm5 disc011.jpg,1,2,0,54.89703841,54.89703841,8.578504859,8.511528637,0.124715427,86.26914958,54.95898962,0.841792427,1,8.360447368,0.998872774,0.996401799,28.42517219,5.205846229,15.12516532,81.00504063,235.3535961,1.510244121,11.40716304,7.390556337,7.454822044
um,1.5mm5 disc011.jpg,1,3,0,54.97964003,54.97964003,8.592673372,8.517395464,0.132078262,80.91081843,55.0085506,0.842026628,1,8.366734837,0.999474435,0.997901049,28.44271673,5.202109139,25.15562158,80.94689002,391.4314904,1.510244121,21.43261338,7.390556337,7.454822044
um,1.5mm5 disc011.jpg,1,4,0,55.27700587,55.27700587,8.587967733,8.554286099,0.088478986,33.60498798,55.37199774,0.846110016,1,8.389330712,0.998284478,0.994649227,28.45068567,15.20400638,15.08183239,236.5803945,234.6793186,11.47142875,11.34289733,7.454822044,7.454822044
um,1.5mm5 disc011.jpg,1,5,0,55.07050181,55.07050181,8.581911435,8.529360253,0.110496458,22.23813579,55.26874571,0.842949115,1,8.373645601,0.996413092,0.990933413,28.45068567,15.20841167,25.11864257,236.6489426,390.8560822,11.47142875,21.36834767,7.454822044,7.454822044
um,1.5mm5 disc011.jpg,1,6,0,54.49642054,54.49642054,8.53411557,8.499036467,0.090576019,43.13240267,54.52946119,0.842706111,1,8.329885814,0.999394077,0.997731569,28.30505958,15.22798703,5.075320308,236.953543,78.97400531,11.53569446,1.381712706,7.390556337,7.390556337
